date,team_a,team_b,result
28/06/94,Brasile,Svezia,1-1
28/06/94,Russia,Camerun,6-1
28/06/94,Eire,Norvegia,0-0
28/06/94,Italia,Messico,1-1
29/06/94,Marocco,Olanda,1-2
29/06/94,Belgio,Arabia Saudita,0-1
30/06/94,Grecia,Nigeria,0-2
30/06/94,Argentina,Bulgaria,0-2
2/7/94,Germania,Belgio,3-2
2/7/94,Spagna,Svizzera,3-0
3/7/94,Romania,Argentina,3-2
3/7/94,Arabia Saudita,Svezia,1-3
4/7/94,Brasile,USA,1-0
4/7/94,Olanda,Eire,2-0
5/7/94,Messico,Bulgaria,1-3
5/7/94,Nigeria,Italia,1-2
9/7/94,Olanda,Brasile,2-3
9/7/94,Italia,Spagna,2-1
10/7/94,Romania,Svezia,4-5
10/7/94,Bulgaria,Germania,2-1
13/07/94,Svezia,Brasile,0-1
13/07/94,Bulgaria,Italia,1-2
16/07/94,Svezia,Bulgaria,4-0
17/07/94,Brasile,Italia,3-2
10/6/98,Marocco,Norvegia,2-2
10/6/98,Brasile,Scozia,2-1
11/6/98,Camerun,Austria,1-1
11/6/98,Italia,Cile,2-2
12/6/98,Francia,Sudafrica,3-0
12/6/98,Arabia Saudita,Danimarca,0-1
12/6/98,Paraguay,Bulgaria,0-0
13/06/98,Spagna,Nigeria,2-3
13/06/98,Corea del Sud,Messico,1-3
13/06/98,Olanda,Belgio,0-0
14/06/98,Yugoslavia,Iran,1-0
14/06/98,Giamaica,Croazia,1-3
14/06/98,Argentina,Giappone,1-0
15/06/98,Germania,USA,2-0
15/06/98,Romania,Colombia,1-0
15/06/98,Inghilterra,Tunisia,2-0
16/06/98,Brasile,Marocco,3-0
16/06/98,Scozia,Norvegia,1-1
17/06/98,Cile,Austria,1-1
17/06/98,Italia,Camerun,3-0
18/06/98,Francia,Arabia Saudita,4-0
18/06/98,Sudafrica,Danimarca,1-1
19/06/98,Spagna,Paraguay,0-0
19/06/98,Nigeria,Bulgaria,1-0
20/06/98,Olanda,Corea del Sud,5-0
20/06/98,Belgio,Messico,2-2
20/06/98,Giappone,Croazia,0-1
21/06/98,Germania,Yugoslavia,2-2
21/06/98,USA,Iran,1-2
21/06/98,Argentina,Giamaica,5-0
22/06/98,Colombia,Tunisia,1-0
22/06/98,Romania,Inghilterra,2-1
23/06/98,Scozia,Marocco,0-3
23/06/98,Brasile,Norvegia,1-2
23/06/98,Cile,Camerun,1-1
23/06/98,Italia,Austria,2-1
24/06/98,Sudafrica,Arabia Saudita,2-2
24/06/98,Francia,Danimarca,2-1
24/06/98,Spagna,Bulgaria,6-1
24/06/98,Nigeria,Paraguay,1-3
25/06/98,Belgio,Corea del Sud,1-1
25/06/98,Olanda,Messico,2-2
25/06/98,Germania,Iran,2-0
25/06/98,USA,Yugoslavia,0-1
26/06/98,Romania,Tunisia,1-1
26/06/98,Colombia,Inghilterra,0-2
26/06/98,Giappone,Giamaica,1-2
26/06/98,Argentina,Croazia,1-0
27/06/98,Brasile,Cile,4-1
27/06/98,Italia,Norvegia,1-0
28/06/98,Francia,Paraguay,1-0
28/06/98,Nigeria,Danimarca,1-4
29/06/98,Olanda,Yugoslavia,2-1
29/06/98,Germania,Messico,2-1
30/06/98,Argentina,Inghilterra,4-3
30/06/98,Romania,Croazia,0-1
3/7/98,Brasile,Danimarca,3-2
3/7/98,Italia,Francia,3-4
4/7/98,Germania,Croazia,0-3
4/7/98,Olanda,Argentina,2-1
7/7/98,Brasile,Olanda,4-2
8/7/98,Francia,Croazia,2-1
11/7/98,Olanda,Croazia,1-2
12/7/98,Brasile,Francia,0-3
31/05/02,Francia,Senegal,0-1
1/6/02,Uruguai,Danimarca,1-2
1/6/02,Germania,Arabia Saudita,8-0
1/6/02,Eire,Camerun,1-1
2/6/02,Spagna,Slovenia,3-1
2/6/02,Paraguay,Sudafrica,2-2
2/6/02,Inghilterra,Svezia,1-1
2/6/02,Argentina,Nigeria,1-0
3/6/02,Brasile,Turchia,2-1
3/6/02,Italia,Ecuador,2-0
3/6/02,Croazia,Messico,0-1
4/6/02,Cina,Costarica,0-2
4/6/02,Corea del Sud,Polonia,2-0
4/6/02,Giappone,Belgio,2-2
5/6/02,USA,Portogallo,3-2
5/6/02,Germania,Eire,1-1
5/6/02,Russia,Tunisia,2-0
6/6/02,Francia,Uruguai,0-0
6/6/02,Danimarca,Senegal,1-1
6/6/02,Camerun,Arabia Saudita,1-0
7/6/02,Spagna,Paraguay,3-1
7/6/02,Svezia,Nigeria,2-1
7/6/02,Argentina,Inghilterra,0-1
8/6/02,Sudafrica,Slovenia,1-0
8/6/02,Brasile,Cina,4-0
8/6/02,Italia,Croazia,1-2
9/6/02,Costarica,Turchia,1-1
9/6/02,Messico,Ecuador,2-1
9/6/02,Giappone,Russia,1-0
10/6/02,Corea del Sud,USA,1-1
10/6/02,Portogallo,Polonia,4-0
10/6/02,Tunisia,Belgio,1-1
11/6/02,Danimarca,Francia,2-0
11/6/02,Senegal,Uruguai,3-3
11/6/02,Arabia Saudita,Eire,0-3
11/6/02,Camerun,Germania,0-2
12/6/02,Slovenia,Paraguay,1-3
12/6/02,Sudafrica,Spagna,2-3
12/6/02,Nigeria,Inghilterra,0-0
12/6/02,Svezia,Argentina,1-1
13/06/02,Turchia,Cina,3-0
13/06/02,Costarica,Brasile,2-5
13/06/02,Ecuador,Croazia,1-0
13/06/02,Messico,Italia,1-1
14/06/02,Portogallo,Corea del Sud,0-1
14/06/02,Polonia,USA,3-1
14/06/02,Tunisia,Giappone,0-2
14/06/02,Belgio,Russia,3-2
15/06/02,Danimarca,Inghilterra,0-3
15/06/02,Germania,Paraguay,1-0
16/06/02,Spagna,Eire,3-2
16/06/02,Svezia,Senegal,1-2
17/06/02,Messico,USA,0-2
17/06/02,Brasile,Belgio,2-0
18/06/02,Corea del Sud,Italia,2-1
18/06/02,Giappone,Turchia,0-1
21/06/02,Germania,USA,1-0
21/06/02,Inghilterra,Brasile,1-2
22/06/02,Senegal,Turchia,0-1
22/06/02,Spagna,Corea del Sud,3-5
25/06/02,Germania,Corea del Sud,1-0
26/06/02,Brasile,Turchia,1-0
29/06/02,Corea del Sud,Turchia,2-3
30/06/02,Germania,Brasile,0-2
9/6/06,Germania,Costarica,4-2
9/6/06,Polonia,Ecuador,0-2
10/6/06,Inghilterra,Paraguay,1-0
10/6/06,Trinidad Tobago,Svezia,0-0
10/6/06,Argentina,Costa dAvorio,2-1
11/6/06,Serbia Montenegro,Olanda,0-1
11/6/06,Messico,Iran,3-1
11/6/06,Angola,Portogallo,0-1
12/6/06,Australia,Giappone,3-1
12/6/06,USA,Repubblica Ceca,0-3
12/6/06,Italia,Ghana,2-0
13/06/06,Corea del Sud,Togo,2-1
13/06/06,Francia,Svizzera,0-0
13/06/06,Brasile,Croazia,1-0
14/06/06,Spagna,Ucraina,4-0
14/06/06,Tunisia,Arabia Saudita,2-2
14/06/06,Germania,Polonia,1-0
15/06/06,Ecuador,Costarica,3-0
